y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.78664,2.66741,0.119225
0,2240,2.7916,2.67086,0.120747
0,2240,2.62713,2.50992,0.117212
0,2240,2.94964,2.84027,0.109363
0,2240,2.89049,2.76382,0.126662
0,2240,3.05998,2.94971,0.110276
0,2240,2.85946,2.74626,0.113195
0,2240,2.77888,2.65886,0.120023
0,2240,2.96493,2.84808,0.116845
0,2240,2.51818,2.40766,0.110521
0,2240,2.9705,2.84719,0.123316
0,2240,2.97123,2.84938,0.121852
0,2240,2.87654,2.75979,0.116743
0,2240,2.69902,2.57519,0.123826
0,2240,2.74066,2.62023,0.120426
0,2240,2.68355,2.56443,0.119118
0,2240,2.73448,2.61298,0.121493
0,2240,2.64483,2.52624,0.118587
0,2240,2.61122,2.49361,0.117613
0,2240,2.60946,2.48982,0.119644
0,2240,2.78233,2.66583,0.116503
0,2240,2.5408,2.42612,0.114682
0,2240,3.05176,2.93457,0.117192
0,2240,3.07051,2.95708,0.113435
0,2240,2.73143,2.61107,0.120366
0,2240,2.75069,2.62848,0.122205
0,2240,2.56975,2.44967,0.120074
0,2240,2.78133,2.66288,0.118445
0,2240,2.60359,2.47637,0.127218
0,2240,2.97727,2.85904,0.118236
0,2240,2.7807,2.66919,0.111508
0,2240,2.8655,2.74429,0.121201
0,2240,2.56605,2.45585,0.110198
0,2240,2.68997,2.5726,0.11737
0,2240,2.79245,2.66957,0.122882
0,2240,2.77625,2.6614,0.114851
0,2240,2.77678,2.66266,0.114117
0,2240,3.07243,2.93545,0.136977
0,2240,2.96835,2.84887,0.119476
0,2240,2.68176,2.56128,0.120482
0,2240,3.00007,2.87396,0.126115
0,2240,2.79359,2.67709,0.116501
0,2240,2.79287,2.68195,0.110922
0,2240,2.76563,2.64478,0.120851
0,2240,2.58761,2.47617,0.111435
0,2240,2.75723,2.63842,0.11881
0,2240,2.86904,2.75477,0.114265
0,2240,2.92181,2.79098,0.130831
0,2240,3.11695,2.99867,0.118278
0,2240,2.73734,2.62187,0.115469
0,2240,2.69676,2.57324,0.123514
0,2240,2.84074,2.72462,0.116124
0,2240,2.71791,2.60855,0.10936
0,2240,2.5562,2.43547,0.120727
0,2240,2.72116,2.60703,0.11413
0,2240,2.72655,2.60015,0.1264
0,2240,2.71429,2.59808,0.116214
0,2240,2.48642,2.36185,0.124567
0,2240,2.64466,2.52895,0.115708
0,2240,2.6641,2.54444,0.119657
0,2240,3.25722,3.12948,0.127733
0,2240,2.93885,2.8254,0.113453
0,2240,2.59832,2.48272,0.115608
0,2240,2.76934,2.65712,0.112216
0,2240,2.69055,2.57516,0.115395
0,2240,2.76784,2.65742,0.110426
0,2240,2.83357,2.71117,0.122405
0,2240,2.57933,2.46459,0.114737
0,2240,2.51082,2.39473,0.116086
0,2240,2.57763,2.46326,0.114368
0,2240,2.66522,2.54024,0.124973
0,2240,2.73117,2.60911,0.122053
0,2240,2.97368,2.85148,0.122196
0,2240,2.66638,2.54644,0.11994
