y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.50074,2.44324,0.0574969
0,2240,2.23716,2.15807,0.0790837
0,2240,2.29961,2.2459,0.0537176
0,2240,3.00441,2.92848,0.0759296
0,2240,2.80898,2.7382,0.0707782
0,2240,2.45893,2.39865,0.0602798
0,2240,2.21648,2.15553,0.0609434
0,2240,3.08352,3.01108,0.0724454
0,2240,2.244,2.17889,0.0651062
0,2240,2.04306,1.97289,0.0701605
0,2240,2.11184,2.03626,0.0755747
0,2240,2.17159,2.10584,0.0657484
0,2240,2.5031,2.42223,0.0808629
0,2240,2.37458,2.30236,0.0722184
0,2240,2.97458,2.90813,0.0664462
0,2240,2.53579,2.45408,0.0817112
0,2240,2.37019,2.2855,0.0846917
0,2240,1.92338,1.8647,0.0586797
0,2240,2.19577,2.1221,0.0736645
0,2240,2.76143,2.67318,0.0882512
0,2240,2.36482,2.28556,0.079254
0,2240,1.9716,1.91847,0.0531289
0,2240,1.88816,1.81647,0.0716972
0,2240,3.28437,3.20799,0.07638
0,2240,2.47233,2.40516,0.0671708
0,2240,1.80287,1.73617,0.0666921
0,2240,2.45126,2.38184,0.0694149
0,2240,3.72399,3.64643,0.0775584
0,2240,1.801,1.72862,0.072382
0,2240,2.99635,2.9327,0.063652
0,2240,2.11728,2.03701,0.0802682
0,2240,1.91375,1.84264,0.0711018
0,2240,2.332,2.25608,0.0759157
0,2240,2.3927,2.33634,0.0563625
0,2240,2.89955,2.82595,0.0735967
0,2240,2.13887,2.08408,0.054791
0,2240,1.87537,1.82418,0.0511878
0,2240,1.71638,1.65271,0.063678
0,2240,1.91701,1.85863,0.058383
0,2240,1.81132,1.75125,0.0600682
0,2240,2.87071,2.80941,0.0613074
0,2240,2.09238,2.02806,0.0643246
0,2240,2.43188,2.36601,0.0658659
0,2240,1.89774,1.82531,0.0724352
0,2240,2.31805,2.25029,0.0677625
0,2240,2.07731,2.00283,0.0744771
0,2240,2.6485,2.59133,0.0571691
0,2240,2.44928,2.38559,0.0636919
0,2240,2.92935,2.8455,0.0838478
0,2240,2.6121,2.54189,0.0702046
0,2240,2.42495,2.36411,0.0608343
0,2240,1.40894,1.33285,0.0760905
0,2240,1.8958,1.80126,0.0945338
0,2240,2.86429,2.80799,0.0562997
0,2240,2.6081,2.53671,0.0713946
0,2240,1.96728,1.89798,0.0692959
0,2240,1.76827,1.69983,0.0684386
0,2240,3.18529,3.13087,0.0544268
0,2240,3.70393,3.62419,0.079732
0,2240,2.71069,2.6294,0.0812965
0,2240,2.31094,2.26003,0.050911
0,2240,2.5004,2.42978,0.0706119
0,2240,2.24027,2.16776,0.0725189
0,2240,1.94324,1.88017,0.0630697
0,2240,2.34505,2.28624,0.058807
0,2240,1.96884,1.90572,0.0631117
0,2240,1.88061,1.80072,0.0798907
0,2240,1.75014,1.67419,0.0759496
0,2240,2.74778,2.68142,0.0663609
0,2240,2.90506,2.85179,0.0532701
0,2240,3.20069,3.11521,0.0854867
0,2240,2.68239,2.62428,0.0581145
0,2240,2.33101,2.26127,0.0697398
0,2240,2.15954,2.08932,0.0702149
0,2240,2.63541,2.55577,0.0796432
0,2240,2.23441,2.17616,0.05825
0,2240,2.06387,2.01042,0.053454
0,2240,1.62839,1.55283,0.0755589
0,2240,2.0167,1.94717,0.069538
0,2240,1.81051,1.73779,0.0727118
0,2240,2.18594,2.11528,0.0706533
0,2240,2.30075,2.24368,0.0570705
0,2240,2.23901,2.15856,0.0804575
0,2240,2.95249,2.86089,0.0915944
0,2240,2.09945,2.02327,0.0761705
0,2240,2.24837,2.19811,0.0502627
0,2240,2.27047,2.2061,0.0643784
0,2240,3.63701,3.57739,0.0596157
0,2240,2.30846,2.24081,0.0676556
0,2240,1.44468,1.37112,0.0735562
0,2240,2.53337,2.46841,0.0649624
0,2240,2.26073,2.18982,0.0709143
0,2240,1.85301,1.79511,0.0579002
0,2240,2.20126,2.14359,0.0576685
0,2240,3.57623,3.51661,0.0596241
0,2240,1.61254,1.52205,0.0904843
0,2240,2.39108,2.3141,0.0769769
0,2240,1.43905,1.35653,0.0825203
0,2240,1.96577,1.89943,0.0663345
0,2240,2.65549,2.58339,0.0721007
0,2240,1.71925,1.64362,0.0756262
0,2240,3.2518,3.17842,0.0733797
0,2240,2.89441,2.81747,0.0769451
0,2240,3.23088,3.16849,0.0623982
0,2240,2.12947,2.04554,0.0839304
0,2240,2.28031,2.22139,0.0589196
0,2240,2.46202,2.39634,0.0656793
0,2240,2.38021,2.31901,0.0612005
0,2240,2.5147,2.44173,0.0729754
0,2240,1.85544,1.78837,0.0670736
0,2240,3.36405,3.29968,0.064376
0,2240,2.8154,2.74134,0.0740563
